X,Y,OBJECTID,Concelho,ConfirmadosAcumulado,Recuperados,Obitos,Data,Dicofre
-9.15647596,38.737942796,9048,LISBOA,175,0,0,2020/03/24 12:00:00,1106
-8.62165234199995,41.161641108,9049,PORTO,126,0,0,2020/03/24 12:00:00,1312
-8.60156280499996,41.2447796100001,9050,MAIA,104,0,0,2020/03/24 12:00:00,1306
-8.58046458899997,41.0746034160001,9051,VILA NOVA DE GAIA,68,0,0,2020/03/24 12:00:00,1317
-8.49428629699997,41.2064478550001,9052,VALONGO,65,0,0,2020/03/24 12:00:00,1315
-8.48307961599994,41.109544919,9053,GONDOMAR,56,0,0,2020/03/24 12:00:00,1304
-8.61985292,40.8765625930001,9054,OVAR,55,0,0,2020/03/24 12:00:00,0115
-8.67174399199996,41.213012115,9055,MATOSINHOS,54,0,0,2020/03/24 12:00:00,1308
-9.40095515,38.725011174,9056,CASCAIS,39,0,0,2020/03/24 12:00:00,1105
-9.35759928299996,38.8231430590001,9057,SINTRA,39,0,0,2020/03/24 12:00:00,1111
-8.44628443799996,40.2161326660001,9058,COIMBRA,34,0,0,2020/03/24 12:00:00,0603
-8.5108260499999,40.967152583,9059,SANTA MARIA DA FEIRA,33,0,0,2020/03/24 12:00:00,0109
-9.19307693899998,38.6351475800001,9060,ALMADA,31,0,0,2020/03/24 12:00:00,1503
-8.27492147199996,41.2853556760001,9061,LOUSADA,29,0,0,2020/03/24 12:00:00,1305
-9.15138004099998,38.8611177380001,9062,LOURES,24,0,0,2020/03/24 12:00:00,1107
-9.22940074499996,38.759739531,9063,AMADORA,21,0,0,2020/03/24 12:00:00,1115
-8.42080560799997,41.544601035,9064,BRAGA,21,0,0,2020/03/24 12:00:00,0303
-9.10889166699997,38.6048511120001,9065,SEIXAL,21,0,0,2020/03/24 12:00:00,1510
-8.20132092499995,41.35056122,9066,FELGUEIRAS,17,0,0,2020/03/24 12:00:00,1303
-9.27618968599995,38.7169092550001,9067,OEIRAS,16,0,0,2020/03/24 12:00:00,1110
-8.31577560899996,41.460777663,9068,GUIMARÃES,15,0,0,2020/03/24 12:00:00,0308
-9.19907097799995,38.7978557340001,9069,ODIVELAS,14,0,0,2020/03/24 12:00:00,1116
-8.50350018299997,41.4086407670001,9070,VILA NOVA DE FAMALICÃO,12,0,0,2020/03/24 12:00:00,0312
-8.46819361699994,40.842381082,9071,OLIVEIRA DE AZEMÉIS,11,0,0,2020/03/24 12:00:00,0113
-16.9162432649999,32.674819959,9072,FUNCHAL,10,0,0,2020/03/24 12:00:00,3103
-8.72895002399997,39.3370532070001,9073,SANTARÉM,9,0,0,2020/03/24 12:00:00,1416
-8.6261922799999,40.9948388070001,9074,ESPINHO,8,0,0,2020/03/24 12:00:00,0107
-7.91831926199995,37.0556576060001,9075,FARO,8,0,0,2020/03/24 12:00:00,0805
-8.58336393499997,37.191398737,9076,PORTIMÃO,8,0,0,2020/03/24 12:00:00,0811
-8.68331163499994,41.3377724960001,9077,VILA DO CONDE,8,0,0,2020/03/24 12:00:00,1316
