Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPVs;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Causa de Extinção do Contrato;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado;Ligação para Peças do Procedimento;Lista de Fornecedores (cocontratantes);Aquisição ao Abrigo de Acordo Quadro de outro Estado-membro da UE
Aquisição de equipamentos e produtos para proteção individual no âmbito da Contingência COVID-19 para  o Agrupamento de Escolas de Almancil.;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33000000-0, Equipamento médico, medicamentos e produtos para cuidados pessoais";"Agrupamento de Escolas de Almancil, Loulé (600080781)";"Univerplast - Fábrico de Plásticos, Lda (502215704)";"15.522,00 €";27-04-2021;14-09-2020;109 dias;"Portugal, Faro, Loulé";"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
2021001475- MONTAGEM DE PLACAS-BIOMBOS E CHAPAS - ÂMBITO COVID 19;Ajuste Direto Regime Geral;Aquisição de serviços;"98000000-3, Outros serviços comunitários, sociais e pessoais";Estado-Maior-General das Forças Armadas (EMGFA) (600010180);"Loviril-Construção Civil, Unipessoal, Lda (500924139)";"4.345,00 €";26-04-2021;21-01-2021;1 dias;"Portugal, Lisboa, Lisboa";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
Fornecimento de máscaras FFP2 para trabalhadores da CMM - (COVID-19);Ajuste Direto Regime Geral;Aquisição de bens móveis;"33140000-3, Material médico de consumo";Município do Montijo (502834846);LABORIAL DIDÁTICA (508980348);"2.925,00 €";26-04-2021;19-01-2021;30 dias;"Portugal, Setúbal, Montijo";"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
Reagentes Covid-19 Kit Extração Ácidos Nucleicos (Aq. Maxwell 48);Ajuste Direto Regime Geral;Aquisição de bens móveis;"33600000-6, Produtos farmacêuticos";"Centro Hospitalar do Médio Tejo, E. P. E. (506361608)";"VWR Internacional – Material de Laboratório, Lda. (503842770)";"71.478,00 €";26-04-2021;04-01-2021;365 dias;"Portugal, Santarém, Torres Novas";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
Prestação de serviços para realização de testes de despiste ao SARs-COV-2/COVID-19 Plano de Contingência.;Ajuste Direto Regime Geral;Aquisição de serviços;"85000000-9, Serviços de saúde e acção social";Secretaria-Geral da Presidência da República (600000869);"Centro de Medicina Laboratorial Germano de Sousa, SA (508720311)";"16.705,00 €";22-04-2021;26-10-2020;30 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://anogov.com/r5/;false;
VISEIRA DE PROTEÇÃO (COVID-19);Ajuste Direto Regime Geral;Aquisição de bens móveis;"33000000-0, Equipamento médico, medicamentos e produtos para cuidados pessoais";"Centro Hospitalar Tondela-Viseu, E. P. E. (509822940)";Manutan Unipessoal Lda (504779079);"9.356,25 €";21-04-2021;09-10-2020;365 dias;"Portugal, Viseu, Viseu";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
LUVA EXAME NITRILO NÃO ESTERILIZADA SEM PO TAMANHO L (COVID-19);Ajuste Direto Regime Geral;Aquisição de bens móveis;"33000000-0, Equipamento médico, medicamentos e produtos para cuidados pessoais";"Centro Hospitalar Tondela-Viseu, E. P. E. (509822940)";"HR PROTECÇAO ,SA (505766205)";"20.000,00 €";21-04-2021;22-10-2020;30 dias;"Portugal, Viseu, Viseu";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
"Aquisição, em regime de fornecimento contínuo de  equipamentos e produtos para proteção individual no âmbito da Contingência COVID-19  para o Agrupamento de Escolas de Almancil, durante o ano económico de 2020. ";Consulta Prévia;Aquisição de bens móveis;"33000000-0, Equipamento médico, medicamentos e produtos para cuidados pessoais";"Agrupamento de Escolas de Almancil, Loulé (600080781)";"Univerplast - Fábrico de Plásticos, Lda (502215704)";"10.075,00 €";21-04-2021;18-12-2020;14 dias;"Portugal, Faro, Loulé";"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos";Cumprimento integral do contrato;31-12-2020;"9.681,74 €";;"As quantidades fornecidas ficaram aquém do estipulado, derivado do facto de as mesmas dependerem das reais necessidades da entidade adjudicante.";;Não aplicável.;Não aplicável.;false;;false;
"Prestação de serviços de Aluguer de monitor de osmose inversa, no âmbito do COVID-19";Ajuste Direto Regime Geral;Locação de bens móveis<br/>Aquisição de serviços;"33000000-0, Equipamento médico, medicamentos e produtos para cuidados pessoais";"Centro Hospitalar Universitário Lisboa Central, E. P. E. (508080142)";"Fresenius Medical Care Portugal, SA (503070220)";"2.200,00 €";21-04-2021;12-01-2021;120 dias;"Portugal, Lisboa, Lisboa";"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03";;;;;;;Não aplicável.;Não aplicável.;false;;false;
REAGENTE SARS-COV-2 TESTES RÁPIDOS COVID-19  TESTE VitaPCR SARS-CoV-2 ;Ajuste Direto Regime Geral;Aquisição de bens móveis;"33100000-1, Equipamento médico";"Centro Hospitalar do Baixo Vouga, E. P. E. (510123210)";Cepheid Iberia S.L.U. - Sucursal em Portugal (980655684);"44.520,00 €";21-04-2021;26-11-2020;365 dias;"Portugal, Aveiro";"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;;false;
